timestamp,nodeid,light,anomaly
1212,10,625.6,False
1212,11,1376.32,False
1212,41,1552.96,False
1213,43,596.16,False
1213,51,596.16,False
1217,1,478.4,False
1217,22,684.48,False
1217,32,1847.36,True
1217,35,1376.32,False
1217,54,1847.36,False
1219,31,1847.36,False
1225,7,250.24,True
1225,24,1847.36,False
1225,54,1847.36,False
1227,37,1317.44,False
1230,46,323.84,True
1230,54,1847.36,False
1231,3,412.16,True
1231,33,1140.8,False
1231,53,1847.36,False
1234,9,1847.36,False
1234,11,1435.2,False
1234,27,202.4,True
1237,1,478.4,True
1237,9,1847.36,False
1244,37,1317.44,False
1244,53,1847.36,False
1247,2,537.28,False
1247,31,1847.36,False
1247,47,1847.36,False
1251,31,1847.36,False
1251,38,1788.48,False
1252,3,412.16,True
1252,48,684.48,False
1257,10,625.6,False
1257,49,1140.8,False
1258,4,338.56,True
1258,6,1435.2,False
1258,34,1847.36,False
1258,35,1317.44,False
1258,36,1847.36,False
1258,37,1258.56,False
1259,2,537.28,True
1259,9,1847.36,False
1259,37,1258.56,False
1260,6,1435.2,False
1260,36,1847.36,False
1260,38,1788.48,False
1264,35,1317.44,False
1265,4,338.56,True
1265,13,1494.08,False
1266,54,1847.36,False
1268,13,1494.08,False
1268,14,507.84,True
1268,34,1847.36,False
1269,52,412.16,True
1273,9,1847.36,False
1273,23,368.0,True
1273,53,1847.36,False
1275,31,1847.36,False
1275,35,1317.44,False
1275,46,309.12,True
1276,11,1435.2,False
1277,11,1435.2,False
1277,31,1847.36,False
1277,38,1847.36,False
1278,3,412.16,True
1278,25,1847.36,False
1278,52,397.44,True
1279,47,1847.36,False
1281,10,596.16,False
1283,1,478.4,False
1283,2,507.84,False
1283,31,1847.36,True
1283,36,1847.36,True
1285,13,1435.2,False
1285,39,478.4,False
1286,44,537.28,False
1289,3,412.16,False
1289,35,1317.44,False
1289,36,1847.36,True
1289,43,625.6,False
1290,2,537.28,False
1290,4,338.56,True
1290,35,1317.44,False
1298,2,537.28,False
1298,13,1435.2,False
1298,34,1847.36,True
1298,35,1317.44,False
1298,40,1317.44,False
1298,46,294.4,False
1300,53,1847.36,True
1301,36,1847.36,True
1303,44,537.28,False
1306,7,250.24,False
1306,11,1494.08,False
1306,14,507.84,False
1306,52,397.44,False
1307,2,537.28,False
1307,4,338.56,False
1307,6,1376.32,False
1307,10,596.16,False
1307,13,1435.2,False
1307,14,507.84,False
1307,38,1847.36,True
1310,14,478.4,False
1310,51,596.16,False
1312,37,1199.68,False
1316,13,1435.2,False
1316,52,382.72,False
1317,22,625.6,False
1317,35,1317.44,False
1318,1,478.4,False
1318,45,625.6,False
1319,43,596.16,False
1323,6,1317.44,False
1324,11,1494.08,False
1324,14,478.4,False
1324,34,1847.36,True
1326,34,1847.36,True
1326,37,1199.68,False
1326,43,596.16,False
1327,44,507.84,False
1330,11,1494.08,False
1330,47,1847.36,False
1336,47,1847.36,False
1337,2,537.28,False
1337,11,1494.08,False
1337,14,478.4,True
1337,34,1847.36,False
1342,1,456.32,True
1342,13,1435.2,False
1342,35,1317.44,False
1342,38,1847.36,True
1344,34,1847.36,True
1344,46,294.4,True
1346,34,1847.36,True
1346,46,294.4,True
1350,11,1494.08,False
1350,43,596.16,False
1352,13,1435.2,False
1356,39,456.32,False
1356,46,294.4,True
1357,37,1140.8,False
1359,2,537.28,False
1359,38,1847.36,True
1367,1,441.6,False
1367,14,478.4,False
1367,53,1847.36,True
1371,13,1376.32,False
1372,34,1847.36,True
1372,43,596.16,False
1374,13,1376.32,False
1374,40,1317.44,False
1374,53,1847.36,False
1375,29,625.6,False
1377,1,441.6,True
1377,39,456.32,True
1381,48,625.6,False
1382,37,1140.8,False
1382,38,1788.48,False
1382,40,1317.44,False
1383,35,1317.44,False
1390,34,1847.36,False
1390,35,1317.44,False
1390,37,1140.8,False
1390,54,1847.36,False
1391,40,1317.44,False
1393,13,1376.32,False
1393,47,1847.36,False
1394,37,1140.8,False
1394,39,456.32,True
1397,1,426.88,True
1397,31,1847.36,False
1397,34,1847.36,False
1397,38,1788.48,False
1400,39,456.32,True
1400,40,1317.44,False
1404,44,566.72,False
1407,40,1317.44,False
1409,40,1317.44,False
1411,38,1788.48,False
1413,30,1847.36,False
1415,42,964.16,False
1419,36,1847.36,False
1419,37,1081.92,False
1419,39,441.6,True
1419,41,1611.84,False
1419,42,964.16,False
1427,7,250.24,True
1427,10,596.16,False
1427,13,1317.44,False
1427,14,478.4,True
1427,34,1847.36,False
1427,36,1847.36,True
1428,6,1258.56,False
1428,25,1847.36,True
1437,6,1258.56,False
1438,7,250.24,True
1448,6,1199.68,False
1452,37,1081.92,False
1453,9,1847.36,False
1455,2,507.84,False
1455,9,1847.36,False
1457,10,566.72,False
1457,23,368.0,True
1457,36,1847.36,False
1458,19,382.72,True
1458,30,1847.36,False
1459,2,507.84,False
1463,6,1199.68,False
1463,25,1847.36,False
1464,14,456.32,True
1464,30,1847.36,False
1467,30,1847.36,True
1467,35,1199.68,False
1467,53,1847.36,True
1469,1,382.72,True
1471,22,713.92,False
1472,22,713.92,False
1472,54,1847.36,True
1473,2,507.84,False
1473,31,1729.6,False
1473,35,1199.68,False
1473,38,1552.96,False
1473,39,412.16,False
1474,4,309.12,False
1474,54,1847.36,True
1478,1,382.72,False
1478,2,507.84,False
1478,13,1258.56,False
1481,35,1199.68,False
1482,13,1258.56,False
1483,13,1258.56,False
1483,33,861.12,False
1487,2,507.84,False
1487,3,353.28,False
1487,4,309.12,True
1487,13,1258.56,False
1487,36,1847.36,True
1487,53,1847.36,True
1487,54,1847.36,True
1488,41,1317.44,False
1489,25,1847.36,True
1489,39,426.88,False
1491,11,1494.08,False
1492,13,1258.56,False
1492,14,456.32,False
1492,40,1317.44,False
1493,10,566.72,False
1493,42,1081.92,False
1497,48,743.36,False
1498,3,338.56,True
1498,36,1847.36,True
1498,48,743.36,False
1499,14,441.6,False
1500,14,441.6,False
1500,44,1023.04,False
1500,46,368.0,False
1501,7,235.52,True
1502,53,1847.36,True
1502,54,1847.36,True
1503,11,1494.08,False
1503,13,1258.56,False
1503,24,1494.08,False
1503,45,772.8,False
1504,44,1023.04,False
1505,24,1494.08,False
1506,11,1494.08,False
1506,45,772.8,False
1509,36,1847.36,True
1509,39,412.16,False
1509,51,625.6,False
1510,40,1317.44,False
1510,45,802.24,False
1510,48,772.8,False
1511,11,1494.08,False
1511,52,353.28,False
1512,43,478.4,False
1514,3,338.56,False
1514,48,772.8,False
1515,21,353.28,False
1515,22,1199.68,False
1515,23,353.28,False
1515,24,1376.32,False
1515,25,1847.36,True
1516,7,235.52,False
1516,11,1494.08,False
1516,17,1552.96,False
1516,21,353.28,False
1516,22,1081.92,False
1516,23,353.28,False
1516,25,1847.36,True
1516,38,1435.2,False
1517,11,1494.08,False
1517,21,353.28,False
1517,22,1023.04,False
1517,23,353.28,False
1517,36,1847.36,True
1518,1,353.28,False
1518,2,478.4,False
1518,3,323.84,False
1518,17,1435.2,False
1518,21,353.28,False
1518,22,1023.04,False
1518,25,1847.36,True
1518,37,964.16,False
1518,45,802.24,False
1519,2,478.4,False
1519,19,456.32,False
1519,21,353.28,False
1519,22,1023.04,False
1519,23,353.28,False
1519,35,1140.8,False
1519,37,964.16,False
1519,38,1435.2,False
1519,39,412.16,False
1520,2,478.4,False
1520,3,323.84,False
1520,6,1081.92,False
1520,11,1494.08,True
1520,19,426.88,False
1520,21,368.0,False
1520,22,964.16,False
1520,23,368.0,False
1520,35,1140.8,False
1521,17,1140.8,False
1521,19,397.44,False
1521,21,353.28,False
1521,22,861.12,False
1521,23,353.28,False
1521,25,1847.36,True
