timestamp,nodeid,temperature_anomaly,humidity_anomaly,voltage_anomaly
1516,17,1,0,0
1518,17,1,0,0
1521,17,1,0,0
1523,17,1,0,0
1524,17,1,0,0
1525,17,1,0,0
1526,17,1,0,0
1527,17,1,0,0
1528,17,1,0,0
1529,17,1,0,0
1530,17,1,0,0
1531,17,1,0,0
1532,17,1,0,0
1533,17,1,0,0
1534,16,1,0,0
1538,16,1,0,0
1540,17,1,0,0
1541,17,1,0,0
1542,17,1,0,0
1543,17,1,0,0
1544,17,1,0,0
1545,17,1,0,0
1546,17,1,0,0
1547,16,1,0,0
1548,16,1,0,0
1549,16,1,0,0
1550,17,1,0,0
1551,17,1,0,0
1552,17,1,0,0
1553,17,1,0,0
1554,17,1,0,0
1555,17,1,0,0
1556,17,1,0,0
1557,17,1,0,0
1558,17,1,0,0
1559,17,1,0,0
1560,17,1,0,0
1561,17,1,0,0
1562,17,1,0,0
1563,17,1,0,0
1564,17,1,0,0
1565,17,1,0,0
1566,17,1,0,0
1567,17,1,0,0
1568,17,1,0,0
1569,17,1,0,0
1570,17,1,0,0
1571,17,1,0,0
1572,17,1,0,0
1573,17,1,0,0
1574,17,1,0,0
1575,17,1,0,0
1576,17,1,0,0
1577,17,1,0,0
1578,17,1,0,0
1579,17,1,0,0
1580,17,1,0,0
1581,17,1,0,0
1582,17,1,0,0
1583,17,1,0,0
1584,17,1,0,0
1585,17,1,0,0
1586,17,1,0,0
1587,17,1,0,0
1588,17,1,0,0
1589,17,1,0,0
1590,17,1,0,0
1591,17,1,0,0
1592,17,1,0,0
1593,17,1,0,0
1594,17,1,0,0
1595,17,1,0,0
1596,17,1,0,0
1597,17,1,0,0
1598,17,1,0,0
1599,17,1,0,0
1600,17,1,0,0
1601,17,1,0,0
1602,17,1,0,0
1603,17,1,0,0
1604,17,1,0,0
1605,17,1,0,0
1606,17,1,0,0
1607,17,1,0,0
1608,17,1,0,0
1609,17,1,0,0
1610,17,1,0,0
1611,17,1,0,0
1612,17,1,0,0
1613,17,1,0,0
1614,17,1,0,0
1615,17,1,0,0
1616,17,1,0,0
1617,17,1,0,0
1618,17,1,0,0
1619,17,1,0,0
1620,17,1,0,0
1621,17,1,0,0
1622,17,1,0,0
1623,17,1,0,0
1624,17,1,0,0
1625,17,1,0,0
1626,17,1,0,0
1627,17,1,0,0
1628,17,1,0,0
1629,17,1,0,0
1630,17,1,0,0
1631,17,1,0,0
1632,17,1,0,0
1633,17,1,0,0
1634,17,1,0,0
1635,17,1,0,0
1636,17,1,0,0
1637,17,1,0,0
1638,17,1,0,0
1639,17,1,0,0
1640,17,1,0,0
1641,17,1,0,0
1642,17,1,0,0
1643,17,1,0,0
1644,17,1,0,0
1645,17,1,0,0
1646,17,1,0,0
1647,17,1,0,0
1648,17,1,0,0
1649,17,1,0,0
1650,17,1,0,0
1651,17,1,0,0
1652,17,1,0,0
1653,17,1,0,0
1654,17,1,0,0
1655,17,1,0,0
1656,17,1,0,0
1657,17,1,0,0
1658,17,1,0,0
1659,17,1,0,0
1660,17,1,0,0
1661,17,1,0,0
1662,17,1,0,0
1663,17,1,0,0
1664,17,1,0,0
1665,17,1,0,0
1666,17,1,0,0
1667,17,1,0,0
1668,17,1,0,0
1669,17,1,0,0
1670,17,1,0,0
1671,17,1,0,0
1672,17,1,0,0
1673,17,1,0,0
1674,17,1,0,0
1675,17,1,0,0
1676,17,1,0,0
1677,17,1,0,0
1678,17,1,0,0
1679,17,1,0,0
1680,17,1,0,0
1681,17,1,0,0
1682,17,1,0,0
1683,17,1,0,0
1684,17,1,0,0
1685,17,1,0,0
1686,17,1,0,0
1687,17,1,0,0
1688,17,1,0,0
1689,17,1,0,0
1690,17,1,0,0
1691,17,1,0,0
1692,17,1,0,0
1693,17,1,0,0
1694,17,1,0,0
1695,17,1,0,0
1696,17,1,0,0
1697,17,1,0,0
1698,17,1,0,0
1699,17,1,0,0
1700,17,1,0,0
1701,17,1,0,0
1702,17,1,0,0
1703,17,1,0,0
1704,17,1,0,0
1705,17,1,0,0
1706,17,1,0,0
1707,17,1,0,0
1708,17,1,0,0
1709,17,1,0,0
1710,17,1,0,0
1711,17,1,0,0
1712,17,1,0,0
1713,17,1,0,0
1714,17,1,0,0
1715,17,1,0,0
1716,17,1,0,0
1717,17,1,0,0
1718,17,1,0,0
1719,17,1,0,0
1720,17,1,0,0
1721,17,1,0,0
1722,17,1,0,0
1723,17,1,0,0
1724,17,1,0,0
1725,17,1,0,0
1726,17,1,0,0
1727,17,1,0,0
1728,17,1,0,0
1729,17,1,0,0
1730,17,1,0,0
1731,17,1,0,0
1732,17,1,0,0
1733,17,1,0,0
1734,17,1,0,0
1735,17,1,0,0
1736,17,1,0,0
1737,17,1,0,0
1738,17,1,0,0
1739,17,1,0,0
1740,17,1,0,0
1741,17,1,0,0
1742,17,1,0,0
1743,17,1,0,0
1744,17,1,0,0
1745,17,1,0,0
1746,17,1,0,0
1747,17,1,0,0
1748,17,1,0,0
1749,17,1,0,0
1750,17,1,0,0
1751,17,1,0,0
1752,17,1,0,0
1753,17,1,0,0
1754,17,1,0,0
1755,17,1,0,0
1756,17,1,0,0
1757,17,1,0,0
1758,17,1,0,0
1759,17,1,0,0
1760,17,1,0,0
1761,17,1,0,0
1762,17,1,0,0
1763,17,1,0,0
1764,17,1,0,0
1765,17,1,0,0
1766,17,1,0,0
1767,17,1,0,0
1768,17,1,0,0
1769,17,1,0,0
1770,17,1,0,0
1771,17,1,0,0
1772,17,1,0,0
1773,17,1,0,0
1774,17,1,0,0
1775,17,1,0,0
1776,17,1,0,0
1777,17,1,0,0
1778,17,1,0,0
1779,17,1,0,0
1780,17,1,0,0
1781,17,1,0,0
1782,17,1,0,0
1783,17,1,0,0
1784,17,1,0,0
1785,17,1,0,0
1786,17,1,0,0
1787,17,1,0,0
1788,17,1,0,0
1789,17,1,0,0
1790,17,1,0,0
1791,17,1,0,0
1792,17,1,0,0
1793,17,1,0,0
1794,17,1,0,0
1795,17,1,0,0
1796,17,1,0,0
1797,17,1,0,0
1798,17,1,0,0
1799,17,1,0,0
