timestamp,nodeid,temperature,humidity,voltage,light
1507140,25,30.0922,22.1719,2.56,1847.36
1511640,25,29.563,22.3187,2.56,1847.36
1512690,25,29.416,22.392,2.56,1847.36
1514430,17,122.153,22.978,2.29313,1140.8
1514520,17,122.153,20.6993,2.29313,1023.04
1515090,17,122.153,20.0337,2.29313,772.8
1515300,17,122.153,14.8705,2.28431,772.8
1515360,17,122.153,11.2158,2.27556,772.8
1515390,17,122.153,18.8459,2.28431,772.8
1515390,25,30.1412,22.025,2.56,1847.36
1515420,17,122.153,7.27616,2.27556,772.8
1515480,25,30.4058,21.6575,2.56,1847.36
1526760,16,122.153,20.1817,2.29313,1376.32
1527000,16,122.153,19.8114,2.29313,1317.44
1528440,16,122.153,17.0535,2.28431,802.24
1528800,16,122.153,16.378,2.28431,713.92
1528860,16,122.153,16.2653,2.28431,684.48
1529340,16,122.153,16.5283,2.28431,537.28
1529700,16,122.153,16.3029,2.28431,441.6
1529760,16,122.153,16.002,2.28431,426.88
1529820,16,122.153,15.4746,2.28431,412.16
1529880,16,122.153,15.2482,2.28431,397.44
1529940,16,122.153,15.0972,2.28431,382.72
1530000,16,122.153,14.5679,2.28431,353.28
1530060,16,122.153,14.6436,2.28431,338.56
1530330,16,122.153,20.9945,2.30202,279.68
1530390,16,122.153,19.7373,2.30202,264.96
1531020,16,122.153,6.96471,2.32,121.44
1531050,16,122.153,17.0535,2.32,114.08
1531080,16,122.153,6.80884,2.32,114.08
1531440,16,122.153,8.28592,2.32,86.48
1531500,16,122.153,8.67328,2.32,82.8
1531560,16,122.153,8.82807,2.32,79.12
1531920,16,122.153,10.371,2.32,64.4
1532010,16,122.153,19.3663,2.32,60.72
1532160,16,122.153,11.5223,2.32,60.72
1532160,39,90.9208,137.512,0.00910083,9.20694e-11
1532190,16,122.153,19.8485,2.32,60.72
1532220,16,122.153,11.4457,2.32,60.72
1532400,16,122.153,12.2107,2.32,57.04
1532430,16,122.153,20.4037,2.3291,57.04
1532580,16,122.153,12.8211,2.32,57.04
1532640,16,122.153,12.7449,2.32,57.04
1532760,16,122.153,13.43,2.32,57.04
1532820,16,122.153,13.1257,2.32,57.04
1533360,16,122.153,14.7949,2.3291,57.04
1533420,16,122.153,14.7949,2.3291,57.04
1533540,16,122.153,14.8705,2.3291,57.04
1534500,16,122.153,16.3029,2.33827,57.04
1534680,16,122.153,16.716,2.33827,57.04
1535100,16,122.153,16.9786,2.33827,57.04
1537500,16,122.153,16.9786,2.33827,57.04
1537560,16,122.153,16.9036,2.33827,57.04
1559340,16,122.153,-2.70687,2.31097,0.92
1559760,16,122.153,1.05855,2.31097,0.92
1559820,16,122.153,2.012,2.31097,0.92
1559910,16,122.153,2.80408,2.31097,0.92
1560480,16,122.153,5.7153,2.31097,0.92
