timestamp,nodeid,temperature,humidity,voltage,light
1532160,39,90.9208,137.512,0.00910083,9.20694e-11
1607640,17,122.153,-3.91901,2.14412,964.16
1607760,17,122.153,-3.91901,2.14412,964.16
1608030,17,122.153,-3.91901,2.14412,964.16
1608060,17,122.153,-3.91901,2.14412,964.16
1608570,17,122.153,-3.91901,2.14412,964.16
1664550,17,122.153,-3.91901,2.12114,1552.96
1664940,17,122.153,-4.0,2.12875,1729.6
1664970,17,122.153,-3.91901,2.12875,1729.6
1665000,17,122.153,-3.91901,2.1364,1729.6
1665060,17,122.153,-3.91901,2.12875,1788.48
1665180,17,122.153,-3.91901,2.1364,1729.6
1665210,17,122.153,-3.91901,2.1364,1729.6
1665270,17,122.153,-3.91901,2.1364,1729.6
1665330,17,122.153,-3.91901,2.1364,1670.72
1665450,17,122.153,-3.91901,2.14412,1670.72
1665480,17,122.153,-3.91901,2.1364,1670.72
1665510,17,122.153,-3.91901,2.14412,1670.72
1665540,17,122.153,-3.91901,2.14412,1670.72
1665570,17,122.153,-3.91901,2.14412,1670.72
1665630,17,122.153,-3.91901,2.14412,1729.6
1665660,17,122.153,-3.91901,2.14412,1729.6
1665840,17,122.153,-3.91901,2.14412,1729.6
1665990,17,122.153,-3.91901,2.14412,1788.48
1669710,17,122.153,-3.91901,2.14412,1847.36
1670190,17,122.153,-3.91901,2.14412,1847.36
1670940,17,122.153,-3.91901,2.14412,1847.36
1671180,17,122.153,-3.91901,2.14412,1788.48
1673280,17,122.153,-3.91901,2.14412,1494.08
1676040,17,122.153,-3.91901,2.14412,1081.92
1676340,17,122.153,-3.91901,2.14412,1081.92
1676730,17,122.153,-3.91901,2.14412,1081.92
1676760,17,122.153,-3.91901,2.14412,1081.92
1676910,17,122.153,-3.91901,2.14412,743.36
1678500,17,122.153,-3.91901,2.14412,861.12
1679850,17,122.153,-3.91901,2.14412,831.68
1680180,17,122.153,-3.91901,2.14412,831.68
1680810,17,122.153,-3.91901,2.14412,831.68
1681500,17,122.153,-3.91901,2.14412,831.68
1681860,17,122.153,-3.91901,2.14412,861.12
1686360,17,122.153,-3.91901,2.14412,964.16
1687770,17,122.153,-3.91901,2.14412,1023.04
1691130,17,122.153,-3.91901,2.14412,1081.92
1691700,17,122.153,-3.91901,2.14412,1081.92
1692270,17,122.153,-3.91901,2.14412,1023.04
1694490,17,122.153,-3.91901,2.14412,1081.92
